"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"279_at"	"0.9997"	"3.96e-01"	"0.902378"	"-5.6543"	"0.2168575"	"NR4A1"	"nuclear receptor subfamily 4 group A member 1"
"37751_at"	"0.9997"	"3.97e-01"	"-0.901804"	"-5.6548"	"-0.1629555"	"TM9SF4"	"transmembrane 9 superfamily member 4"
"38974_at"	"0.9997"	"3.97e-01"	"0.901527"	"-5.6551"	"0.2653235"	"PARK7"	"Parkinsonism associated deglycase"
"1881_at"	"0.9997"	"3.97e-01"	"0.901416"	"-5.6552"	"0.1813555"	"MECOM"	"MDS1 and EVI1 complex locus"
"41616_at"	"0.9997"	"3.97e-01"	"0.901235"	"-5.6553"	"0.1682805"	"PIN4"	"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
"36820_r_at"	"0.9997"	"3.97e-01"	"0.90085"	"-5.6557"	"0.140215"	"ATXN3"	"ataxin 3"
"37851_at"	"0.9997"	"3.97e-01"	"-0.900585"	"-5.6559"	"-0.1379635"	"HIPK2"	"homeodomain interacting protein kinase 2"
"40975_s_at"	"0.9997"	"3.97e-01"	"0.9005"	"-5.656"	"0.169647"	"TFIP11"	"tuftelin interacting protein 11"
"34874_at"	"0.9997"	"3.97e-01"	"-0.900453"	"-5.656"	"-0.193438"	"PNPLA6"	"patatin like phospholipase domain containing 6"
"36580_at"	"0.9997"	"3.98e-01"	"-0.900221"	"-5.6562"	"-0.2620205"	"RMND5A"	"required for meiotic nuclear division 5 homolog A"
"40455_at"	"0.9997"	"3.98e-01"	"-0.900085"	"-5.6563"	"-0.1390135"	"ENDOD1"	"endonuclease domain containing 1"
"39132_at"	"0.9997"	"3.98e-01"	"0.899929"	"-5.6565"	"0.148268"	"SMARCA5"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
"37130_g_at"	"0.9997"	"3.98e-01"	"0.899882"	"-5.6565"	"0.1389155"	"NPFF"	"neuropeptide FF-amide peptide precursor"
"41769_at"	"0.9997"	"3.98e-01"	"0.899495"	"-5.6568"	"0.149215"	"ATP2A1"	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"
"32798_at"	"0.9997"	"3.98e-01"	"0.899482"	"-5.6568"	"0.140924"	"GSTM3"	"glutathione S-transferase mu 3"
"38459_g_at"	"0.9997"	"3.98e-01"	"-0.899156"	"-5.6571"	"-0.165145"	"CYB5A"	"cytochrome b5 type A"
"33250_at"	"0.9997"	"3.98e-01"	"0.899112"	"-5.6572"	"0.137661"	"WDR46"	"WD repeat domain 46"
"36366_at"	"0.9997"	"3.98e-01"	"-0.899034"	"-5.6572"	"-0.1365405"	"B4GALT6"	"beta-1,4-galactosyltransferase 6"
"37586_at"	"0.9997"	"3.98e-01"	"0.898982"	"-5.6573"	"0.1425095"	"ZNF142"	"zinc finger protein 142"
"37919_at"	"0.9997"	"3.98e-01"	"-0.898528"	"-5.6577"	"-0.15792"	"SLCO2A1"	"solute carrier organic anion transporter family member 2A1"
"33992_at"	"0.9997"	"3.99e-01"	"-0.897985"	"-5.6581"	"-0.132691"	"ALB"	"albumin"
"31629_at"	"0.9997"	"3.99e-01"	"0.897892"	"-5.6582"	"0.1699385"	""	""
"31624_at"	"0.9997"	"3.99e-01"	"0.897752"	"-5.6583"	"0.1887455"	"ALX3"	"ALX homeobox 3"
"38159_at"	"0.9997"	"3.99e-01"	"-0.897579"	"-5.6585"	"-0.1331625"	"PAK3"	"p21 (RAC1) activated kinase 3"
"1428_at"	"0.9997"	"3.99e-01"	"0.897327"	"-5.6587"	"0.174897"	"THRB"	"thyroid hormone receptor beta"
"37473_at"	"0.9997"	"3.99e-01"	"-0.897169"	"-5.6589"	"-0.1422035"	"KRT16"	"keratin 16"
"38826_at"	"0.9997"	"3.99e-01"	"-0.89713"	"-5.6589"	"-0.145759"	"SEPT6"	"septin 6"
"1353_g_at"	"0.9997"	"3.99e-01"	"0.897006"	"-5.659"	"0.1601785"	"CXCR1"	"C-X-C motif chemokine receptor 1"
"1496_at"	"0.9997"	"3.99e-01"	"-0.896864"	"-5.6591"	"-0.152303"	"PTPRA"	"protein tyrosine phosphatase, receptor type A"
"38609_at"	"0.9997"	"3.99e-01"	"-0.89682"	"-5.6592"	"-0.1433515"	"SGCA"	"sarcoglycan alpha"
"1044_s_at"	"0.9997"	"3.99e-01"	"0.896673"	"-5.6593"	"0.137419"	"E2F5"	"E2F transcription factor 5"
"39944_at"	"0.9997"	"3.99e-01"	"0.896488"	"-5.6594"	"0.209626"	"ZNF35"	"zinc finger protein 35"
"31872_at"	"0.9997"	"3.99e-01"	"-0.89645"	"-5.6595"	"-0.1697835"	"SS18"	"SS18, nBAF chromatin remodeling complex subunit"
"37004_at"	"0.9997"	"3.99e-01"	"0.896305"	"-5.6596"	"0.1438205"	"SFTPB"	"surfactant protein B"
"1599_at"	"0.9997"	"4.00e-01"	"0.895961"	"-5.6599"	"0.2705765"	"CDKN3"	"cyclin dependent kinase inhibitor 3"
"38182_at"	"0.9997"	"4.00e-01"	"-0.895678"	"-5.6601"	"-0.1556355"	"TXLNGY"	"taxilin gamma pseudogene, Y-linked"
"40748_at"	"0.9997"	"4.00e-01"	"-0.895639"	"-5.6602"	"-0.1383075"	"CPA2"	"carboxypeptidase A2"
"1035_g_at"	"0.9997"	"4.00e-01"	"0.895537"	"-5.6603"	"0.1874575"	"TIMP3"	"TIMP metallopeptidase inhibitor 3"
"35867_at"	"0.9997"	"4.00e-01"	"0.895452"	"-5.6603"	"0.170334"	"SLC22A2"	"solute carrier family 22 member 2"
"40144_at"	"0.9997"	"4.00e-01"	"0.895349"	"-5.6604"	"0.136177"	"SIRPA"	"signal regulatory protein alpha"
"41828_at"	"0.9997"	"4.00e-01"	"0.89526"	"-5.6605"	"0.151402"	"MBD1"	"methyl-CpG binding domain protein 1"
"36147_at"	"0.9997"	"4.00e-01"	"0.895179"	"-5.6606"	"0.1745135"	"SSR2"	"signal sequence receptor subunit 2"
"1124_at"	"0.9997"	"4.00e-01"	"0.894919"	"-5.6608"	"0.1315545"	"KMT2A"	"lysine methyltransferase 2A"
"39107_at"	"0.9997"	"4.00e-01"	"0.894852"	"-5.6609"	"0.1743075"	"LSS"	"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)"
"37216_at"	"0.9997"	"4.00e-01"	"0.894723"	"-5.661"	"0.1369295"	"SBNO2"	"strawberry notch homolog 2"
"1970_s_at"	"0.9997"	"4.00e-01"	"0.894502"	"-5.6612"	"0.1517445"	"FGFR2"	"fibroblast growth factor receptor 2"
"40566_at"	"0.9997"	"4.01e-01"	"0.894166"	"-5.6614"	"0.164951"	"PRKCA"	"protein kinase C alpha"
"40824_at"	"0.9997"	"4.01e-01"	"-0.894118"	"-5.6615"	"-0.2323015"	"XPO7"	"exportin 7"
"35753_at"	"0.9997"	"4.01e-01"	"-0.893743"	"-5.6618"	"-0.1316885"	"PRPF8"	"pre-mRNA processing factor 8"
"1102_s_at"	"0.9997"	"4.01e-01"	"0.893585"	"-5.662"	"0.1476945"	"NR3C1"	"nuclear receptor subfamily 3 group C member 1"
"35195_at"	"0.9997"	"4.01e-01"	"0.893541"	"-5.662"	"0.163985"	"RTCA"	"RNA 3'-terminal phosphate cyclase"
"39616_at"	"0.9997"	"4.01e-01"	"0.893413"	"-5.6621"	"0.1414365"	"PTGER3"	"prostaglandin E receptor 3"
"35984_at"	"0.9997"	"4.01e-01"	"0.89296"	"-5.6625"	"0.165136"	"LOC102724865///E2F6"	"transcription factor E2F6 pseudogene///E2F transcription factor 6"
"36648_at"	"0.9997"	"4.01e-01"	"0.892869"	"-5.6626"	"0.154017"	"MED7"	"mediator complex subunit 7"
"901_g_at"	"0.9997"	"4.01e-01"	"0.892804"	"-5.6626"	"0.1400935"	"PLCB4"	"phospholipase C beta 4"
"38717_at"	"0.9997"	"4.01e-01"	"-0.892794"	"-5.6626"	"-0.376527"	"METTL7A"	"methyltransferase like 7A"
"468_at"	"0.9997"	"4.01e-01"	"0.892721"	"-5.6627"	"0.1553865"	"FGF13"	"fibroblast growth factor 13"
"37856_at"	"0.9997"	"4.01e-01"	"-0.892603"	"-5.6628"	"-0.1345065"	"CD84"	"CD84 molecule"
"35030_i_at"	"0.9997"	"4.01e-01"	"0.89239"	"-5.663"	"0.169633"	"FRMPD4"	"FERM and PDZ domain containing 4"
"38136_at"	"0.9997"	"4.02e-01"	"0.892179"	"-5.6632"	"0.1384135"	"WRN"	"Werner syndrome RecQ like helicase"
"756_at"	"0.9997"	"4.02e-01"	"0.892114"	"-5.6632"	"0.139511"	"ITPR2"	"inositol 1,4,5-trisphosphate receptor type 2"
"37451_at"	"0.9997"	"4.02e-01"	"-0.892083"	"-5.6632"	"-0.139804"	"SLCO3A1"	"solute carrier organic anion transporter family member 3A1"
"1342_g_at"	"0.9997"	"4.02e-01"	"-0.89206"	"-5.6633"	"-0.1425025"	"TERF1"	"telomeric repeat binding factor 1"
"160022_at"	"0.9997"	"4.02e-01"	"-0.892044"	"-5.6633"	"-0.1702535"	"CSF1R"	"colony stimulating factor 1 receptor"
"178_f_at"	"0.9997"	"4.02e-01"	"0.891829"	"-5.6635"	"0.144091"	"PMS2P1"	"PMS1 homolog 2, mismatch repair system component pseudogene 1"
"41816_at"	"0.9997"	"4.02e-01"	"0.891773"	"-5.6635"	"0.161759"	"CARD10"	"caspase recruitment domain family member 10"
"39468_r_at"	"0.9997"	"4.02e-01"	"0.891653"	"-5.6636"	"0.139119"	""	""
"1747_at"	"0.9997"	"4.02e-01"	"0.891589"	"-5.6637"	"0.1341515"	"DNASE2"	"deoxyribonuclease 2, lysosomal"
"40713_at"	"0.9997"	"4.02e-01"	"0.891386"	"-5.6638"	"0.149784"	"NFAT5"	"nuclear factor of activated T-cells 5"
"40253_at"	"0.9997"	"4.02e-01"	"0.891216"	"-5.664"	"0.13384"	"PI4KB"	"phosphatidylinositol 4-kinase beta"
"41503_at"	"0.9997"	"4.02e-01"	"-0.891132"	"-5.6641"	"-0.1761245"	"ZHX2"	"zinc fingers and homeoboxes 2"
"1026_s_at"	"0.9997"	"4.02e-01"	"0.890933"	"-5.6642"	"0.166984"	"COL11A2"	"collagen type XI alpha 2 chain"
"33974_at"	"0.9997"	"4.02e-01"	"0.89077"	"-5.6644"	"0.139249"	"RASL10A"	"RAS like family 10 member A"
"33508_at"	"0.9997"	"4.02e-01"	"-0.890677"	"-5.6645"	"-0.130643"	"INPP4A"	"inositol polyphosphate-4-phosphatase type I A"
"34208_at"	"0.9997"	"4.02e-01"	"0.890512"	"-5.6646"	"0.173366"	"SLC12A5"	"solute carrier family 12 member 5"
"33988_at"	"0.9997"	"4.02e-01"	"-0.890279"	"-5.6648"	"-0.1466315"	"TMBIM6"	"transmembrane BAX inhibitor motif containing 6"
"33455_at"	"0.9997"	"4.03e-01"	"0.890011"	"-5.665"	"0.1711025"	"ALDOB"	"aldolase, fructose-bisphosphate B"
"41674_at"	"0.9997"	"4.03e-01"	"0.889961"	"-5.6651"	"0.1339305"	"FGF12"	"fibroblast growth factor 12"
"41666_at"	"0.9997"	"4.03e-01"	"0.889489"	"-5.6655"	"0.1547885"	"HSPA12A"	"heat shock protein family A (Hsp70) member 12A"
"36773_f_at"	"0.9997"	"4.03e-01"	"-0.889357"	"-5.6656"	"-0.1314305"	"LOC101060835///HLA-DQB1"	"HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1"
"33102_at"	"0.9997"	"4.03e-01"	"-0.888509"	"-5.6663"	"-0.299079"	"ADD3"	"adducin 3"
"41156_g_at"	"0.9997"	"4.03e-01"	"-0.88839"	"-5.6664"	"-0.135729"	"CTNNA1"	"catenin alpha 1"
"31383_at"	"0.9997"	"4.04e-01"	"-0.888231"	"-5.6666"	"-0.1497295"	"LOC643733"	"caspase 4, apoptosis-related cysteine peptidase pseudogene"
"38424_at"	"0.9997"	"4.04e-01"	"-0.888148"	"-5.6666"	"-0.1333925"	"ESYT1"	"extended synaptotagmin 1"
"36870_at"	"0.9997"	"4.04e-01"	"0.888052"	"-5.6667"	"0.145995"	"VPS8"	"VPS8, CORVET complex subunit"
"33808_at"	"0.9997"	"4.04e-01"	"-0.887973"	"-5.6668"	"-0.137835"	"TEAD3"	"TEA domain transcription factor 3"
"34848_at"	"0.9997"	"4.04e-01"	"0.887643"	"-5.6671"	"0.324602"	"FDFT1"	"farnesyl-diphosphate farnesyltransferase 1"
"37293_at"	"0.9997"	"4.04e-01"	"0.887604"	"-5.6671"	"0.1546035"	"CKAP5"	"cytoskeleton associated protein 5"
"32794_g_at"	"0.9997"	"4.04e-01"	"0.88751"	"-5.6672"	"0.186042"	"TRBC1"	"T cell receptor beta constant 1"
"33034_at"	"0.9997"	"4.04e-01"	"-0.886991"	"-5.6676"	"-0.1309345"	"RHBDL1"	"rhomboid like 1"
"543_g_at"	"0.9997"	"4.04e-01"	"0.886757"	"-5.6678"	"0.1591295"	"CRABP1"	"cellular retinoic acid binding protein 1"
"41268_g_at"	"0.9997"	"4.05e-01"	"0.88613"	"-5.6684"	"0.16633"	"TCF25"	"transcription factor 25"
"40918_at"	"0.9997"	"4.05e-01"	"0.886007"	"-5.6685"	"0.196572"	""	""
"34076_at"	"0.9997"	"4.05e-01"	"-0.885936"	"-5.6685"	"-0.1405895"	""	""
"34264_at"	"0.9997"	"4.05e-01"	"0.885743"	"-5.6687"	"0.1580195"	"RUSC1"	"RUN and SH3 domain containing 1"
"585_at"	"0.9997"	"4.05e-01"	"0.885304"	"-5.6691"	"0.131844"	"XRCC5"	"X-ray repair cross complementing 5"
"32212_at"	"0.9997"	"4.05e-01"	"0.884986"	"-5.6693"	"0.161511"	"AIFM1"	"apoptosis inducing factor, mitochondria associated 1"
"39885_at"	"0.9997"	"4.05e-01"	"0.884954"	"-5.6694"	"0.1336575"	""	""
"36330_at"	"0.9997"	"4.05e-01"	"-0.884939"	"-5.6694"	"-0.1319975"	"KYAT1"	"kynurenine aminotransferase 1"
"39571_at"	"0.9997"	"4.05e-01"	"-0.884936"	"-5.6694"	"-0.1425285"	"CAMSAP1"	"calmodulin regulated spectrin associated protein 1"
"39194_at"	"0.9997"	"4.05e-01"	"0.884692"	"-5.6696"	"0.147964"	""	""
"41373_s_at"	"0.9997"	"4.05e-01"	"0.884655"	"-5.6696"	"0.1459035"	"MAP1B"	"microtubule associated protein 1B"
"40368_r_at"	"0.9997"	"4.05e-01"	"0.884632"	"-5.6697"	"0.139399"	"CPN2"	"carboxypeptidase N subunit 2"
"33823_at"	"0.9997"	"4.05e-01"	"-0.884375"	"-5.6699"	"-0.1945945"	"SCARB2"	"scavenger receptor class B member 2"
"39550_at"	"0.9997"	"4.05e-01"	"-0.884367"	"-5.6699"	"-0.159891"	"COLGALT2"	"collagen beta(1-O)galactosyltransferase 2"
"1036_at"	"0.9997"	"4.05e-01"	"0.884352"	"-5.6699"	"0.1520315"	"IL15"	"interleukin 15"
"39236_s_at"	"0.9997"	"4.06e-01"	"0.884273"	"-5.67"	"0.164234"	"FAAH"	"fatty acid amide hydrolase"
"37330_at"	"0.9997"	"4.06e-01"	"-0.884092"	"-5.6701"	"-0.149583"	"ALDH4A1"	"aldehyde dehydrogenase 4 family member A1"
"34856_at"	"0.9997"	"4.06e-01"	"0.884073"	"-5.6701"	"0.1368665"	"DKK3"	"dickkopf WNT signaling pathway inhibitor 3"
"610_at"	"0.9997"	"4.06e-01"	"-0.884031"	"-5.6702"	"-0.2071545"	"ADRB2"	"adrenoceptor beta 2"
"39883_at"	"0.9997"	"4.06e-01"	"0.883937"	"-5.6702"	"0.2201195"	"DIMT1"	"DIM1 dimethyladenosine transferase 1 homolog"
"40384_at"	"0.9997"	"4.06e-01"	"0.883887"	"-5.6703"	"0.1799635"	"NPHP1"	"nephrocystin 1"
"40888_f_at"	"0.9997"	"4.06e-01"	"0.883688"	"-5.6705"	"0.3244945"	""	""
"31636_s_at"	"0.9997"	"4.06e-01"	"-0.883654"	"-5.6705"	"-0.1365505"	"SLC18A3"	"solute carrier family 18 member A3"
"34656_at"	"0.9997"	"4.06e-01"	"0.883036"	"-5.671"	"0.2005245"	"MPP2"	"membrane palmitoylated protein 2"
"649_s_at"	"0.9997"	"4.06e-01"	"0.882755"	"-5.6713"	"0.135924"	"CXCR4"	"C-X-C motif chemokine receptor 4"
"1737_s_at"	"0.9997"	"4.06e-01"	"0.882747"	"-5.6713"	"0.1850195"	"IGFBP4"	"insulin like growth factor binding protein 4"
"32603_at"	"0.9997"	"4.06e-01"	"0.882735"	"-5.6713"	"0.163885"	"RPA2"	"replication protein A2"
"881_at"	"0.9997"	"4.06e-01"	"-0.882664"	"-5.6713"	"-0.2012905"	"LOC100505984///ITGB6"	"uncharacterized LOC100505984///integrin subunit beta 6"
"38979_at"	"0.9997"	"4.07e-01"	"0.881676"	"-5.6722"	"0.1349775"	"NDUFB6"	"NADH:ubiquinone oxidoreductase subunit B6"
"31981_at"	"0.9997"	"4.07e-01"	"-0.881672"	"-5.6722"	"-0.154476"	"CRYBB3"	"crystallin beta B3"
"32915_at"	"0.9997"	"4.07e-01"	"0.881199"	"-5.6726"	"0.1295785"	"C15orf39"	"chromosome 15 open reading frame 39"
"35747_at"	"0.9997"	"4.07e-01"	"-0.881094"	"-5.6727"	"-0.1558735"	"NPTN"	"neuroplastin"
"34602_at"	"0.9997"	"4.07e-01"	"0.880786"	"-5.6729"	"0.1698995"	"FCN2"	"ficolin 2"
"35001_at"	"0.9997"	"4.07e-01"	"-0.880512"	"-5.6732"	"-0.141346"	"KCTD20"	"potassium channel tetramerization domain containing 20"
"37905_r_at"	"0.9997"	"4.07e-01"	"0.880352"	"-5.6733"	"0.1471665"	"GNL1"	"G protein nucleolar 1 (putative)"
"34019_at"	"0.9997"	"4.08e-01"	"-0.879926"	"-5.6737"	"-0.1445695"	"CHRNA3"	"cholinergic receptor nicotinic alpha 3 subunit"
"41514_s_at"	"0.9997"	"4.08e-01"	"0.879826"	"-5.6738"	"0.1312675"	"MRPL9"	"mitochondrial ribosomal protein L9"
"38646_s_at"	"0.9997"	"4.08e-01"	"0.879731"	"-5.6738"	"0.147905"	"REG1A"	"regenerating family member 1 alpha"
"36627_at"	"0.9997"	"4.08e-01"	"0.879702"	"-5.6739"	"0.1372175"	"SPARCL1"	"SPARC like 1"
"33527_at"	"0.9997"	"4.08e-01"	"-0.879644"	"-5.6739"	"-0.130962"	"KCNJ3"	"potassium voltage-gated channel subfamily J member 3"
"41740_at"	"0.9997"	"4.08e-01"	"0.879282"	"-5.6742"	"0.1615355"	"ARL3"	"ADP ribosylation factor like GTPase 3"
"39049_at"	"0.9997"	"4.08e-01"	"-0.879265"	"-5.6742"	"-0.138466"	"GPSM3"	"G-protein signaling modulator 3"
"37925_r_at"	"0.9997"	"4.08e-01"	"0.879123"	"-5.6744"	"0.204043"	"APOM"	"apolipoprotein M"
"40224_s_at"	"0.9997"	"4.08e-01"	"0.878846"	"-5.6746"	"0.131048"	"PPP6R2"	"protein phosphatase 6 regulatory subunit 2"
"1665_s_at"	"0.9997"	"4.08e-01"	"0.878811"	"-5.6746"	"0.25355"	"TYMP"	"thymidine phosphorylase"
"32705_at"	"0.9997"	"4.08e-01"	"-0.878785"	"-5.6746"	"-0.161548"	"CYP3A7-CYP3A51P///CYP3A7"	"CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7"
"37834_at"	"0.9997"	"4.09e-01"	"-0.87823"	"-5.6751"	"-0.1307505"	"DYRK1B"	"dual specificity tyrosine phosphorylation regulated kinase 1B"
"868_at"	"0.9997"	"4.09e-01"	"0.878213"	"-5.6751"	"0.1996045"	"TAF10"	"TATA-box binding protein associated factor 10"
"36406_at"	"0.9997"	"4.09e-01"	"-0.878039"	"-5.6753"	"-0.201405"	"KLK13"	"kallikrein related peptidase 13"
"36377_at"	"0.9997"	"4.09e-01"	"-0.87787"	"-5.6754"	"-0.1358395"	"IL18R1"	"interleukin 18 receptor 1"
"32360_s_at"	"0.9997"	"4.09e-01"	"-0.877761"	"-5.6755"	"-0.143193"	"TOP3B"	"topoisomerase (DNA) III beta"
"36216_at"	"0.9997"	"4.09e-01"	"-0.877672"	"-5.6756"	"-0.1527105"	"SNX4"	"sorting nexin 4"
"36884_at"	"0.9997"	"4.09e-01"	"0.877295"	"-5.6759"	"0.179017"	"CD163"	"CD163 molecule"
"40285_at"	"0.9997"	"4.09e-01"	"-0.877205"	"-5.676"	"-0.148059"	"NVL"	"nuclear VCP-like"
"35231_at"	"0.9997"	"4.09e-01"	"0.877197"	"-5.676"	"0.142923"	"SRP19"	"signal recognition particle 19"
"1139_at"	"0.9997"	"4.09e-01"	"0.877146"	"-5.676"	"0.1479765"	"GNA13"	"G protein subunit alpha 13"
"35656_at"	"0.9997"	"4.09e-01"	"0.87701"	"-5.6762"	"0.1781715"	"RNF6"	"ring finger protein 6"
"38311_at"	"0.9997"	"4.09e-01"	"0.877004"	"-5.6762"	"0.1595205"	"TGIF2"	"TGFB induced factor homeobox 2"
"38050_at"	"0.9997"	"4.09e-01"	"0.876658"	"-5.6765"	"0.15922"	"BCLAF1"	"BCL2 associated transcription factor 1"
"1782_s_at"	"0.9997"	"4.09e-01"	"-0.87659"	"-5.6765"	"-0.1999655"	"STMN1"	"stathmin 1"
"33410_at"	"0.9997"	"4.10e-01"	"-0.876351"	"-5.6767"	"-0.202517"	"ITGA6"	"integrin subunit alpha 6"
"492_g_at"	"0.9997"	"4.10e-01"	"0.876186"	"-5.6769"	"0.1520755"	"PTPRG"	"protein tyrosine phosphatase, receptor type G"
"37829_at"	"0.9997"	"4.10e-01"	"0.875979"	"-5.677"	"0.1307245"	"GAS2"	"growth arrest specific 2"
"41269_r_at"	"0.9997"	"4.10e-01"	"0.875939"	"-5.6771"	"0.1530385"	"API5"	"apoptosis inhibitor 5"
"39391_at"	"0.9997"	"4.10e-01"	"0.875886"	"-5.6771"	"0.150385"	"STAMBP"	"STAM binding protein"
"40198_at"	"0.9997"	"4.10e-01"	"-0.875846"	"-5.6771"	"-0.1405085"	"VDAC1"	"voltage dependent anion channel 1"
"1337_s_at"	"0.9997"	"4.10e-01"	"0.875658"	"-5.6773"	"0.1516805"	"RARA"	"retinoic acid receptor alpha"
"38100_at"	"0.9997"	"4.10e-01"	"0.875533"	"-5.6774"	"0.146509"	"SEC62"	"SEC62 homolog, preprotein translocation factor"
"33047_at"	"0.9997"	"4.10e-01"	"0.875394"	"-5.6775"	"0.134218"	"BCL2L11"	"BCL2 like 11"
"41600_at"	"0.9997"	"4.10e-01"	"0.875391"	"-5.6775"	"0.167802"	"PA2G4"	"proliferation-associated 2G4"
"32914_f_at"	"0.9997"	"4.10e-01"	"0.875371"	"-5.6775"	"0.170975"	"CACTIN"	"cactin, spliceosome C complex subunit"
"33355_at"	"0.9997"	"4.10e-01"	"0.87525"	"-5.6777"	"0.1728165"	"PBX1"	"PBX homeobox 1"
"1646_at"	"0.9997"	"4.10e-01"	"0.875172"	"-5.6777"	"0.1364885"	"XIAP"	"X-linked inhibitor of apoptosis"
"890_at"	"0.9997"	"4.10e-01"	"-0.87511"	"-5.6778"	"-0.159516"	"UBE2A"	"ubiquitin conjugating enzyme E2 A"
"31743_at"	"0.9997"	"4.10e-01"	"0.87476"	"-5.6781"	"0.1296975"	""	""
"34392_s_at"	"0.9997"	"4.11e-01"	"0.874225"	"-5.6785"	"0.1354065"	"RAB1A"	"RAB1A, member RAS oncogene family"
"34479_at"	"0.9997"	"4.11e-01"	"-0.874191"	"-5.6786"	"-0.141183"	"PIK3R3"	"phosphoinositide-3-kinase regulatory subunit 3"
"40179_at"	"0.9997"	"4.11e-01"	"0.873973"	"-5.6787"	"0.172945"	"ZBTB33"	"zinc finger and BTB domain containing 33"
"1174_at"	"0.9997"	"4.11e-01"	"0.87391"	"-5.6788"	"0.133316"	"MOS"	"v-mos Moloney murine sarcoma viral oncogene homolog"
"32328_at"	"0.9997"	"4.11e-01"	"0.873699"	"-5.679"	"0.153477"	"KRT85"	"keratin 85"
"39276_g_at"	"0.9997"	"4.11e-01"	"-0.873674"	"-5.679"	"-0.138738"	"CACNA1D"	"calcium voltage-gated channel subunit alpha1 D"
"36832_at"	"0.9997"	"4.11e-01"	"-0.873244"	"-5.6794"	"-0.1640745"	"B3GNT3"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
"32731_at"	"0.9997"	"4.11e-01"	"0.873006"	"-5.6796"	"0.1297095"	"MIR6831///APBB3"	"microRNA 6831///amyloid beta precursor protein binding family B member 3"
"31515_at"	"0.9997"	"4.11e-01"	"-0.872843"	"-5.6797"	"-0.130597"	"AGFG2"	"ArfGAP with FG repeats 2"
"38016_at"	"0.9997"	"4.11e-01"	"0.872769"	"-5.6798"	"0.1433465"	"HNRNPD"	"heterogeneous nuclear ribonucleoprotein D"
"38640_at"	"0.9997"	"4.11e-01"	"0.872636"	"-5.6799"	"0.2065345"	"ZNF593"	"zinc finger protein 593"
"31396_r_at"	"0.9997"	"4.12e-01"	"0.87197"	"-5.6804"	"0.154261"	"MSI1"	"musashi RNA binding protein 1"
"41176_at"	"0.9997"	"4.12e-01"	"-0.871963"	"-5.6804"	"-0.1395905"	"LPCAT1"	"lysophosphatidylcholine acyltransferase 1"
"39116_at"	"0.9997"	"4.12e-01"	"0.871715"	"-5.6806"	"0.139514"	"TMCO1"	"transmembrane and coiled-coil domains 1"
"41427_at"	"0.9997"	"4.12e-01"	"-0.87155"	"-5.6808"	"-0.1359805"	""	""
"33698_at"	"0.9997"	"4.12e-01"	"-0.871521"	"-5.6808"	"-0.1335595"	"CEP164"	"centrosomal protein 164"
"33343_at"	"0.9997"	"4.12e-01"	"-0.871499"	"-5.6808"	"-0.13433"	"RNF14"	"ring finger protein 14"
"35780_at"	"0.9997"	"4.12e-01"	"0.871226"	"-5.6811"	"0.1537415"	"OBSL1"	"obscurin like 1"
"35737_at"	"0.9997"	"4.12e-01"	"-0.871181"	"-5.6811"	"-0.1351845"	"HMGN4"	"high mobility group nucleosomal binding domain 4"
"39277_at"	"0.9997"	"4.12e-01"	"0.871129"	"-5.6811"	"0.2269495"	"OSMR"	"oncostatin M receptor"
"41456_at"	"0.9997"	"4.12e-01"	"0.870969"	"-5.6813"	"0.131012"	"GATB"	"glutamyl-tRNA amidotransferase subunit B"
"39711_at"	"0.9997"	"4.12e-01"	"-0.870683"	"-5.6815"	"-0.1727265"	"PRKCSH"	"protein kinase C substrate 80K-H"
"32804_at"	"0.9997"	"4.12e-01"	"0.870649"	"-5.6816"	"0.137735"	"RBM5"	"RNA binding motif protein 5"
"39360_at"	"0.9997"	"4.12e-01"	"0.87061"	"-5.6816"	"0.1453775"	"SNX3"	"sorting nexin 3"
"40457_at"	"0.9997"	"4.13e-01"	"0.870383"	"-5.6818"	"0.211615"	"SRSF3"	"serine and arginine rich splicing factor 3"
"38049_g_at"	"0.9997"	"4.13e-01"	"-0.870304"	"-5.6818"	"-0.131961"	"RBPMS"	"RNA binding protein with multiple splicing"
"1535_at"	"0.9997"	"4.13e-01"	"-0.869736"	"-5.6823"	"-0.1680755"	"FOXN3"	"forkhead box N3"
"32334_f_at"	"0.9997"	"4.13e-01"	"-0.869611"	"-5.6824"	"-0.132585"	"UBC"	"ubiquitin C"
"31658_at"	"0.9997"	"4.13e-01"	"-0.869562"	"-5.6825"	"-0.130116"	"NEUROG3"	"neurogenin 3"
"32950_at"	"0.9997"	"4.13e-01"	"0.869426"	"-5.6826"	"0.1395215"	"POU6F2"	"POU class 6 homeobox 2"
